realtime_start,value,date,realtime_end
2019-12-06,217381.0,1976-03-01,2019-12-06
2019-12-06,217528.0,1976-04-01,2019-12-06
2019-12-06,217685.0,1976-05-01,2019-12-06
2019-12-06,217861.0,1976-06-01,2019-12-06
2019-12-06,218035.0,1976-07-01,2019-12-06
2019-12-06,218233.0,1976-08-01,2019-12-06
2019-12-06,218440.0,1976-09-01,2019-12-06
2019-12-06,218644.0,1976-10-01,2019-12-06
2019-12-06,218834.0,1976-11-01,2019-12-06
2019-12-06,219006.0,1976-12-01,2019-12-06
2019-12-06,219179.0,1977-01-01,2019-12-06
2019-12-06,219344.0,1977-02-01,2019-12-06
2019-12-06,219504.0,1977-03-01,2019-12-06
2019-12-06,219684.0,1977-04-01,2019-12-06
2019-12-06,219859.0,1977-05-01,2019-12-06
2019-12-06,220046.0,1977-06-01,2019-12-06
2019-12-06,220239.0,1977-07-01,2019-12-06
2019-12-06,220458.0,1977-08-01,2019-12-06
2019-12-06,220688.0,1977-09-01,2019-12-06
2019-12-06,220904.0,1977-10-01,2019-12-06
2019-12-06,221109.0,1977-11-01,2019-12-06
2019-12-06,221303.0,1977-12-01,2019-12-06
2019-12-06,221477.0,1978-01-01,2019-12-06
2019-12-06,221629.0,1978-02-01,2019-12-06
2019-12-06,221792.0,1978-03-01,2019-12-06
2019-12-06,221991.0,1978-04-01,2019-12-06
2019-12-06,222176.0,1978-05-01,2019-12-06
2019-12-06,222379.0,1978-06-01,2019-12-06
2019-12-06,222585.0,1978-07-01,2019-12-06
2019-12-06,222805.0,1978-08-01,2019-12-06
2019-12-06,223053.0,1978-09-01,2019-12-06
2019-12-06,223271.0,1978-10-01,2019-12-06
2019-12-06,223477.0,1978-11-01,2019-12-06
2019-12-06,223670.0,1978-12-01,2019-12-06
2019-12-06,223865.0,1979-01-01,2019-12-06
2019-12-06,224053.0,1979-02-01,2019-12-06
2019-12-06,224235.0,1979-03-01,2019-12-06
2019-12-06,224438.0,1979-04-01,2019-12-06
2019-12-06,224632.0,1979-05-01,2019-12-06
2019-12-06,224843.0,1979-06-01,2019-12-06
2019-12-06,225055.0,1979-07-01,2019-12-06
2019-12-06,225295.0,1979-08-01,2019-12-06
2019-12-06,225547.0,1979-09-01,2019-12-06
2019-12-06,225801.0,1979-10-01,2019-12-06
2019-12-06,226027.0,1979-11-01,2019-12-06
2019-12-06,226243.0,1979-12-01,2019-12-06
2019-12-06,226451.0,1980-01-01,2019-12-06
2019-12-06,226656.0,1980-02-01,2019-12-06
2019-12-06,226849.0,1980-03-01,2019-12-06
2019-12-06,227061.0,1980-04-01,2019-12-06
2019-12-06,227251.0,1980-05-01,2019-12-06
2019-12-06,227522.0,1980-06-01,2019-12-06
2019-12-06,227726.0,1980-07-01,2019-12-06
2019-12-06,227953.0,1980-08-01,2019-12-06
2019-12-06,228186.0,1980-09-01,2019-12-06
2019-12-06,228417.0,1980-10-01,2019-12-06
2019-12-06,228612.0,1980-11-01,2019-12-06
2019-12-06,228779.0,1980-12-01,2019-12-06
2019-12-06,228937.0,1981-01-01,2019-12-06
2019-12-06,229071.0,1981-02-01,2019-12-06
2019-12-06,229224.0,1981-03-01,2019-12-06
2019-12-06,229403.0,1981-04-01,2019-12-06
2019-12-06,229575.0,1981-05-01,2019-12-06
2019-12-06,229761.0,1981-06-01,2019-12-06
2019-12-06,229966.0,1981-07-01,2019-12-06
2019-12-06,230187.0,1981-08-01,2019-12-06
2019-12-06,230412.0,1981-09-01,2019-12-06
2019-12-06,230641.0,1981-10-01,2019-12-06
2019-12-06,230822.0,1981-11-01,2019-12-06
2019-12-06,230989.0,1981-12-01,2019-12-06
2019-12-06,231157.0,1982-01-01,2019-12-06
2019-12-06,231313.0,1982-02-01,2019-12-06
2019-12-06,231470.0,1982-03-01,2019-12-06
2019-12-06,231645.0,1982-04-01,2019-12-06
2019-12-06,231809.0,1982-05-01,2019-12-06
2019-12-06,231992.0,1982-06-01,2019-12-06
2019-12-06,232188.0,1982-07-01,2019-12-06
2019-12-06,232392.0,1982-08-01,2019-12-06
2019-12-06,232599.0,1982-09-01,2019-12-06
2019-12-06,232816.0,1982-10-01,2019-12-06
2019-12-06,232993.0,1982-11-01,2019-12-06
2019-12-06,233160.0,1982-12-01,2019-12-06
2019-12-06,233322.0,1983-01-01,2019-12-06
2019-12-06,233473.0,1983-02-01,2019-12-06
2019-12-06,233613.0,1983-03-01,2019-12-06
2019-12-06,233781.0,1983-04-01,2019-12-06
2019-12-06,233922.0,1983-05-01,2019-12-06
2019-12-06,234118.0,1983-06-01,2019-12-06
2019-12-06,234307.0,1983-07-01,2019-12-06
2019-12-06,234501.0,1983-08-01,2019-12-06
2019-12-06,234701.0,1983-09-01,2019-12-06
